file,label,severity,rich_verdict,quality_verdict,recommendation,smallest_face_min_dim_px,body_coverage,subject_count_estimate,face_count,face_gates,face_size_pcts,sharpness,lighting,concerns,detected_gender,detected_age_group,gender,age_group,http,error
blur-r12__person-001-m-clean.jpg,blur,r12,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
blur-r12__person-030-f-clean.jpg,blur,r12,,red,A sharper photo with the face directly facing the camera would help.,256,upper_body,1,1,turned,25,poor,fair,blurriness; face turned,f,senior,f,mature,200,
blur-r12__person-015-f-clean.jpg,blur,r12,,red,A sharper photo would improve the result.,307,upper_body,1,1,pass,30,poor,good,Image is very blurry,f,adult,f,adult,200,
blur-r12__person-051-m-clean.jpg,blur,r12,,red,A sharper photo would improve the result.,307,upper_body,1,1,pass,30,poor,good,blurred image,m,mature,m,mature,200,
blur-r12__person-043-m-clean.jpg,blur,r12,,red,A sharper photo would improve the result.,410,upper_body,1,1,pass,40,poor,good,image is blurry,m,young,m,young,200,
blur-r12__person-060-f-clean.jpg,blur,r12,,red,One of the photos is fairly blurry — a sharper shot would improve the result.,410,upper_body,1,1,pass,40,poor,good,image is blurred,f,adult,f,,200,
blur-r12__person-073-f-clean.jpg,blur,r12,,red,A closer photo where the face fills more of the frame would help.,102,upper_body,1,1,small,10,poor,fair,image is blurred; subject is too small,f,adult,f,young,200,
blur-r12__person-081-m-clean.jpg,blur,r12,,red,A sharper photo would improve the result.,307,upper_body,1,1,pass,30,poor,fair,blurry,m,young,m,young,200,
blur-r2__person-001-m-clean.jpg,blur,r2,,green,,307,upper_body,1,1,pass,30,good,good,,m,young,m,,200,
blur-r2__person-015-f-clean.jpg,blur,r2,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
blur-r2__person-030-f-clean.jpg,blur,r2,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
blur-r2__person-043-m-clean.jpg,blur,r2,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
blur-r2__person-051-m-clean.jpg,blur,r2,,green,,205,upper_body,1,1,pass,20,good,good,,m,senior,m,mature,200,
blur-r2__person-073-f-clean.jpg,blur,r2,,green,,307,upper_body,1,1,pass,30,good,good,,f,young,f,young,200,
blur-r2__person-060-f-clean.jpg,blur,r2,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
blur-r2__person-081-m-clean.jpg,blur,r2,,green,,512,upper_body,1,1,pass,50,good,good,,m,young,m,young,200,
blur-r4__person-015-f-clean.jpg,blur,r4,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
blur-r4__person-001-m-clean.jpg,blur,r4,,red,A sharper photo with better lighting would improve the result.,307,upper_body,1,1,pass,30,poor,fair,blurry; potential motion blur,m,young,m,young,200,
blur-r4__person-043-m-clean.jpg,blur,r4,,yellow,A sharper photo would help improve the result.,225,upper_body,1,1,pass,22,fair,good,image is slightly blurred,m,young,m,young,200,
blur-r4__person-051-m-clean.jpg,blur,r4,,green,,256,upper_body,1,1,pass,25,good,good,,m,mature,m,mature,200,
blur-r4__person-030-f-clean.jpg,blur,r4,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
blur-r4__person-073-f-clean.jpg,blur,r4,,green,,205,upper_body,1,1,pass,20,good,good,,f,young,f,young,200,
blur-r4__person-060-f-clean.jpg,blur,r4,,yellow,A sharper photo would improve the result.,358,upper_body,1,1,pass,35,fair,good,slight blur,f,adult,f,adult,200,
blur-r4__person-081-m-clean.jpg,blur,r4,,red,A sharper photo would improve the result.,256,upper_body,1,1,pass,25,poor,fair,blur,m,young,m,young,200,
blur-r7__person-001-m-clean.jpg,blur,r7,,yellow,A sharper photo would improve the result.,256,upper_body,1,1,pass,25,fair,good,image is blurred,m,young,m,young,200,
blur-r7__person-015-f-clean.jpg,blur,r7,,red,A sharper photo would improve the result.,184,upper_body,1,1,pass,18,poor,fair,blur; soft focus,f,mature,f,mature,200,
blur-r7__person-030-f-clean.jpg,blur,r7,,red,A sharper photo would significantly improve the result.,256,upper_body,1,1,pass,25,poor,fair,image is blurry,f,mature,f,mature,200,
blur-r7__person-043-m-clean.jpg,blur,r7,,green,,410,head_shoulders,1,1,pass,40,good,good,,m,young,m,young,200,
blur-r7__person-051-m-clean.jpg,blur,r7,,red,A sharper photo would improve the result.,205,upper_body,1,1,pass,20,poor,fair,blurry image,m,mature,m,,200,
blur-r7__person-060-f-clean.jpg,blur,r7,,red,A sharper photo would improve the result.,328,upper_body,1,1,pass,32,poor,fair,blurry,f,adult,f,adult,200,
blur-r7__person-073-f-clean.jpg,blur,r7,,red,A sharper photo would improve the result significantly.,256,upper_body,1,1,pass,25,poor,good,blurry,f,young,f,young,200,
blur-r7__person-081-m-clean.jpg,blur,r7,,red,A sharper photo would improve the result.,256,upper_body,1,1,pass,25,poor,good,motion blur,m,young,m,young,200,
bright-135__person-030-f-clean.jpg,bright,135,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
bright-135__person-001-m-clean.jpg,bright,135,,green,,307,head_shoulders,1,1,pass,30,good,good,,m,young,m,young,200,
bright-135__person-015-f-clean.jpg,bright,135,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
bright-135__person-043-m-clean.jpg,bright,135,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
bright-135__person-051-m-clean.jpg,bright,135,,green,,266,upper_body,1,1,pass,26,good,good,,m,mature,m,mature,200,
bright-135__person-073-f-clean.jpg,bright,135,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
bright-135__person-060-f-clean.jpg,bright,135,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
bright-135__person-081-m-clean.jpg,bright,135,,green,,512,upper_body,1,1,pass,50,good,good,,m,young,m,young,200,
bright-165__person-001-m-clean.jpg,bright,165,,green,,307,upper_body,1,1,pass,30,good,good,,m,young,m,young,200,
bright-165__person-015-f-clean.jpg,bright,165,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
bright-165__person-030-f-clean.jpg,bright,165,,green,,328,upper_body,1,1,pass,32,good,fair,,f,mature,f,mature,200,
bright-165__person-043-m-clean.jpg,bright,165,,green,,358,upper_body,1,1,pass,35,good,good,,m,young,m,young,200,
bright-165__person-051-m-clean.jpg,bright,165,,green,,410,upper_body,1,1,pass,40,good,good,,m,mature,m,mature,200,
bright-165__person-060-f-clean.jpg,bright,165,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
bright-165__person-073-f-clean.jpg,bright,165,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
bright-165__person-081-m-clean.jpg,bright,165,,green,,358,upper_body,1,1,pass,35,good,fair,,m,young,m,young,200,
bright-200__person-001-m-clean.jpg,bright,200,,yellow,Improved lighting would enhance the photo quality.,410,head_shoulders,1,1,pass,40,good,fair,overexposed lighting,m,young,m,young,200,
bright-200__person-015-f-clean.jpg,bright,200,,yellow,Improving lighting conditions to reduce overexposure would help.,307,upper_body,1,1,pass,30,fair,poor,overexposure,f,mature,f,mature,200,
bright-200__person-030-f-clean.jpg,bright,200,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
bright-200__person-060-f-clean.jpg,bright,200,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
bright-200__person-043-m-clean.jpg,bright,200,,yellow,Adjusting the lighting to avoid overexposure would improve the result.,512,upper_body,1,1,pass,50,good,fair,overexposed lighting,m,young,m,young,200,
bright-200__person-051-m-clean.jpg,bright,200,,yellow,Improving the lighting would enhance the portrait.,256,upper_body,1,1,pass,25,good,fair,overexposed lighting,m,mature,m,mature,200,
bright-200__person-073-f-clean.jpg,bright,200,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
bright-250__person-001-m-clean.jpg,bright,250,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
bright-200__person-081-m-clean.jpg,bright,200,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
bright-250__person-015-f-clean.jpg,bright,250,,yellow,Improved lighting or adjusting exposure could enhance the image.,287,upper_body,1,1,pass,28,good,poor,overexposed,f,mature,f,adult,200,
bright-250__person-030-f-clean.jpg,bright,250,,red,The photo is overexposed; a shot with better lighting would improve the result.,389,upper_body,1,1,pass,38,fair,poor,overexposed lighting; loss of detail,f,adult,f,adult,200,
bright-250__person-043-m-clean.jpg,bright,250,,yellow,The photo is overexposed — better lighting would improve clarity.,614,upper_body,1,1,pass,60,fair,poor,overexposure,m,young,m,young,200,
bright-250__person-060-f-clean.jpg,bright,250,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
bright-250__person-051-m-clean.jpg,bright,250,,yellow,Improving the lighting to reduce overexposure would enhance the result.,307,upper_body,1,1,pass,30,good,poor,overexposed lighting,m,mature,m,mature,200,
