"Path","Lines","Modified","KB"
".claude\settings.json","34","2026-04-28","0.7"
".claude\settings.local.json","20","2026-07-10","0.3"
".env.local","70","2026-06-12","2.9"
".env.test","19","2026-04-28","1.2"
".gitignore","43","2026-05-13","0.5"
".html","1157","2026-07-24","2380.6"
"_INVENTORY.csv","0","2026-07-26","0"
"_route_upload\account-route.ts","40","2026-05-06","1.4"
"_route_upload\actionmini-analyze-route.ts","315","2026-05-06","18.1"
"_route_upload\actionmini-generate-route.ts","296","2026-06-05","14"
"_route_upload\auth-me-route.ts","13","2026-05-06","0.4"
"_route_upload\bundles-route.ts","19","2026-05-06","0.6"
"_route_upload\checkout-route.ts","56","2026-05-06","2.1"
"_route_upload\entitlements-route.ts","44","2026-05-06","1.5"
"_route_upload\export-route.ts","291","2026-05-06","15.4"
"_route_upload\global-analyze-route.ts","216","2026-05-06","8.7"
"_route_upload\groups-analyze-route.ts","66","2026-05-13","2.3"
"_route_upload\groups-generate-route.ts","118","2026-05-11","4.8"
"_route_upload\groups-raw-gpt-image-route.ts","116","2026-05-11","4.1"
"_route_upload\groups-raw-pipeline-route.ts","172","2026-05-12","5.7"
"_route_upload\houses-analyze-route.ts","28","2026-06-07","1.1"
"_route_upload\houses-curate-effects-route.ts","32","2026-06-07","1.3"
"_route_upload\houses-generate-route.ts","70","2026-05-06","1.9"
"_route_upload\interior-generate-route.ts","51","2026-05-06","1.7"
"_route_upload\landscapes-analyze-route.ts","211","2026-05-06","6.7"
"_route_upload\landscapes-defer-route.ts","94","2026-05-06","3.7"
"_route_upload\landscapes-generate-route.ts","219","2026-05-06","7.2"
"_route_upload\moments-analyze-route.ts","99","2026-05-06","5"
"_route_upload\pets-analyze-route.ts","69","2026-06-05","2.2"
"_route_upload\pets-generate-route.ts","166","2026-06-06","6.7"
"_route_upload\portraits-analyze-route.ts","70","2026-05-19","2.3"
"_route_upload\portraits-curate-effects-route.ts","81","2026-06-07","2.6"
"_route_upload\portraits-curate-upper-body-route.ts","102","2026-06-03","3"
"_route_upload\portraits-generate-route.ts","321","2026-06-08","14.4"
"_route_upload\portraits-raw-gpt-image-route.ts","114","2026-05-19","4"
"_route_upload\portraits-raw-pipeline-route.ts","174","2026-05-19","5.8"
"_route_upload\print-checkout-route.ts","209","2026-05-13","7.3"
"_route_upload\print-quote-route.ts","116","2026-05-13","3.8"
"_route_upload\print-webhook-route.ts","168","2026-05-13","6.9"
"_route_upload\skus-route.ts","17","2026-05-06","0.5"
"_route_upload\sportsmem-analyze-route.ts","224","2026-05-06","11.2"
"_route_upload\sportsmem-generate-route.ts","49","2026-05-06","1.5"
"_route_upload\stadium-generate-route.ts","51","2026-05-06","1.7"
"_route_upload\structures-generate-route.ts","70","2026-05-06","1.9"
"_route_upload\webhooks-stripe-route.ts","124","2026-05-06","4.3"
"_route-collection\analyze-route.ts","70","2026-05-19","2.3"
"_route-collection\curate-effects-route.ts","81","2026-06-07","2.6"
"_route-collection\curate-upper-body-route.ts","102","2026-06-03","3"
"_route-collection\gate-route.ts","121","2026-06-12","4.8"
"_route-collection\generate-route.ts","611","2026-07-10","28.6"
"_route-collection\pieces-route.ts","143","2026-07-10","6.4"
"_route-collection\raw-gpt-image-route.ts","114","2026-05-19","4"
"_route-collection\raw-pipeline-route.ts","174","2026-05-19","5.8"
"_route-collection\unlock-route.ts","145","2026-06-12","6.1"
"_scratch\filelist.txt","222","2026-07-07","15.4"
"_scratch\filelist2.txt","32","2026-07-07","3.7"
"_scratch\filelistasd.txt","40941","2026-07-07","7356.1"
"_scratch\knip-report.md","268","2026-06-07","46"
"_scratch\structure.txt","37295","2026-04-01","1390"
"AGENTS.md","210","2026-07-25","9.4"
"app\account\page.tsx","278","2026-05-06","10.3"
"app\admin\login\page.tsx","180","2026-05-06","5.1"
"app\admin\store\BundleForm.tsx","751","2026-05-06","21.6"
"app\admin\store\page.tsx","638","2026-05-06","17.2"
"app\api\admin\auth\check\route.ts","14","2026-05-06","0.4"
"app\api\admin\auth\login\route.ts","27","2026-05-06","0.8"
"app\api\admin\auth\logout\route.ts","10","2026-05-06","0.3"
"app\api\admin\bundles\[id]\route.ts","0","2026-05-06","2.5"
"app\api\admin\bundles\reorder\route.ts","41","2026-05-06","1.3"
"app\api\admin\bundles\route.ts","52","2026-05-06","1.7"
"app\api\admin\rejection-patterns\route.ts","53","2026-05-06","2"
"app\api\detect-engine\route.ts","72","2026-05-06","2.4"
"app\api\v1\account\route.ts","40","2026-05-06","1.4"
"app\api\v1\actionmini\analyze\route.ts","315","2026-05-06","18.1"
"app\api\v1\actionmini\generate\route.ts","211","2026-07-19","9.7"
"app\api\v1\auth\me\route.ts","13","2026-05-06","0.4"
"app\api\v1\auth\signin\route.ts","58","2026-07-26","2.3"
"app\api\v1\bundles\route.ts","19","2026-05-06","0.6"
"app\api\v1\checkout\[sessionId]\cancel\route.ts","0","2026-05-06","1.5"
"app\api\v1\checkout\[sessionId]\route.ts","0","2026-05-06","2.4"
"app\api\v1\checkout\route.ts","99","2026-06-12","3.9"
"app\api\v1\credits\balance\route.ts","37","2026-07-23","1.5"
"app\api\v1\credits\gate\route.ts","85","2026-07-23","4"
"app\api\v1\credits\redeem\route.ts","41","2026-07-23","1.8"
"app\api\v1\credits\refund\route.ts","72","2026-07-26","3.3"
"app\api\v1\entitlements\route.ts","44","2026-05-06","1.5"
"app\api\v1\export\route.ts","291","2026-05-06","15.4"
"app\api\v1\global\analyze\route.ts","216","2026-05-06","8.7"
"app\api\v1\groups\analyze\route.ts","66","2026-05-13","2.3"
"app\api\v1\groups\generate\route.ts","125","2026-07-11","5.2"
"app\api\v1\groups\raw-gpt-image\route.ts","116","2026-05-11","4.1"
"app\api\v1\groups\raw-pipeline\route.ts","172","2026-05-12","5.7"
"app\api\v1\houses\analyze\route.ts","28","2026-06-07","1.1"
"app\api\v1\houses\curate-effects\route.ts","32","2026-06-07","1.3"
"app\api\v1\houses\generate\route.ts","70","2026-05-06","1.9"
"app\api\v1\interior\generate\route.ts","51","2026-05-06","1.7"
"app\api\v1\landscapes\analyze\route.ts","211","2026-05-06","6.7"
"app\api\v1\landscapes\defer\route.ts","94","2026-05-06","3.7"
"app\api\v1\landscapes\generate\route.ts","219","2026-05-06","7.2"
"app\api\v1\moments\analyze\route.ts","99","2026-05-06","5"
"app\api\v1\pets\analyze\route.ts","69","2026-06-05","2.2"
"app\api\v1\pets\generate\route.ts","177","2026-07-07","7.4"
"app\api\v1\portraits\analyze\route.ts","70","2026-05-19","2.3"
"app\api\v1\portraits\curate-effects\route.ts","81","2026-06-07","2.6"
"app\api\v1\portraits\curate-upper-body\route.ts","102","2026-06-03","3"
"app\api\v1\portraits\gate\route.ts","121","2026-06-12","4.8"
"app\api\v1\portraits\generate\route.ts","603","2026-07-11","28.7"
"app\api\v1\portraits\pieces\route.ts","152","2026-07-23","7.2"
"app\api\v1\portraits\raw-gpt-image\route.ts","114","2026-05-19","4"
"app\api\v1\portraits\raw-pipeline\route.ts","174","2026-05-19","5.8"
"app\api\v1\portraits\unlock\route.ts","145","2026-06-12","6.1"
"app\api\v1\portrait-wallpaper\analyze\route.ts","64","2026-07-11","2.7"
"app\api\v1\portrait-wallpaper\generate\route.ts","162","2026-07-11","7.2"
"app\api\v1\print\checkout\route.ts","209","2026-05-13","7.3"
"app\api\v1\print\quote\route.ts","116","2026-05-13","3.8"
"app\api\v1\print\webhook\route.ts","168","2026-05-13","6.9"
"app\api\v1\qa\settings\route.ts","106","2026-06-12","4"
"app\api\v1\skus\route.ts","17","2026-05-06","0.5"
"app\api\v1\sportsmem\analyze\route.ts","224","2026-05-06","11.2"
"app\api\v1\sportsmem\generate\route.ts","49","2026-05-06","1.5"
"app\api\v1\stadium\generate\route.ts","51","2026-05-06","1.7"
"app\api\v1\structures\generate\route.ts","70","2026-05-06","1.9"
"app\api\v1\webhooks\stripe\route.ts","124","2026-05-06","4.3"
"app\auth\callback\route.ts","44","2026-05-06","1.5"
"app\globals.css","42","2026-04-27","1.1"
"app\groups\page.tsx","1391","2026-05-06","38.1"
"app\homepage.css","181","2026-07-10","12.1"
"app\layout.tsx","33","2026-05-06","0.7"
"app\page.tsx","277","2026-07-23","13.3"
"app\result\[jobId]\page.tsx","0","2026-05-06","3.1"
"app\result\[jobId]\ResultViewer.tsx","0","2026-05-06","4.7"
"app\store\cancel\CancelInner.tsx","61","2026-05-06","2.2"
"app\store\cancel\page.tsx","10","2026-05-06","0.2"
"app\store\page.tsx","403","2026-05-06","14.6"
"app\store\success\page.tsx","10","2026-05-06","0.2"
"app\store\success\SuccessInner.tsx","148","2026-05-06","5.1"
"archive\CC-PAYLOAD-MASTER-2026-07-22.md","215","2026-07-23","8.9"
"archive\CC-PAYLOAD-portraits-2026-07-22.md","215","2026-07-23","8.8"
"archive\CLAUDE.md","95","2026-07-23","4.5"
"archive\CREDITS-AND-CODES-SPEC-v3.md","125","2026-07-23","6.9"
"archive\litenco-account-2026-07-22-r6.html","287","2026-07-23","524.6"
"archive\litenco-portraits-2026-07-21-r77.html","1578","2026-07-23","114.1"
"archive\old-build-jul10\_PRODUCTION-BIBLE.md","192","2026-07-10","13.4"
"archive\old-build-jul10\CC-CONTRACT-portraits-full-buildout-v1.md","218","2026-07-10","12.2"
"archive\old-build-jul10\cc-directive-groups-2026-07-10.md","66","2026-07-11","4.3"
