file,gender,age_group,confidence,expected,match,note,error
"P_59.jpg","m","mature","high","","","",""
"man_20s.png","m","young","high","m","ok","",""
"man_30s.jpg","m","adult","high","m","ok","",""
"man_30s2.jpg","m","young","high","m","ok","",""
"man_50s.png","m","mature","high","m","ok","",""
"p007.png","f","adult","high","","","",""
"p013.png","f","adult","high","","","",""
"p030.png","m","mature","high","","","",""
"p097.png","f","teen","high","","","",""
"p099.png","f","adult","high","","","",""
"p100.png","m","adult","high","","","",""
"person-097-f-clean.jpg","f","adult","high","f","ok","",""
"person-098-m-clean.jpg","m","adult","high","m","ok","",""
"woman_20s.jpg","f","young","high","f","ok","",""
"woman_20s3.jpg","f","young","high","f","ok","",""
"woman_30s.jpeg","f","adult","high","f","ok","",""
"woman_30s.jpg","f","adult","high","f","ok","",""
"woman_40s2.jpg","f","adult","high","f","ok","",""
