"Effect","SrcMan","SrcWoman","SrcTotal","PvwMan","PvwWoman","PvwTotal","Needs","Misnamed","Untagged"
"art_deco","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"art_nouveau","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"balloon_face","1","1","2","1","1","2","","",""
"beaded","1","1","2","1","1","2","","",""
"bronze","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"cast_glass","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"charcoal_chalk","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"chocolate","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"clockwork","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"coral","1","1","2","1","1","2","","",""
"crystallized","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"cubism","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"daguerreotype","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"deco_twenties","1","1","2","1","1","2","","",""
"dragon_skin","1","1","2","1","1","2","","",""
"driftwood_resin","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"ebony","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"elizabethan","1","1","2","1","1","2","","",""
"fire_face","1","1","2","1","1","2","","",""
"folded_book","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"forest_guardian","1","1","2","1","1","2","","",""
"ice","1","1","2","1","1","2","","",""
"impressionist","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"iron","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"jade","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"lichen_granite","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"linocut","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"magic_energy","1","1","2","1","1","2","","",""
"mercury","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"neon","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpeg 2.jpg / 1.jpg 2.jpg"
"oil_impasto","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"origami","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"pencil_sketch","0","1","1","0","1","1","src:man pvw:man","",""
"persian_court","1","1","2","1","1","2","","",""
"petal_sculpture","1","1","2","1","1","2","","",""
"petrified_wood","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"plushy","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"polished_gold","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"porcelain","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"quilted","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"reclaimed_bronze","1","1","2","1","1","2","","",""
"renaissance","1","1","4","1","1","2","","1_male.jpg 2_female.jpg",""
"retro_robot","1","1","2","1","1","2","","",""
"samurai","1","1","2","1","1","2","","",""
"sand_form","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"sandstone","1","1","2","1","1","2","","",""
"sea_glass","1","1","2","1","1","2","","",""
"sheet_music","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"stained_glass","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"starfield","0","0","2","0","0","2","src:man src:woman pvw:man pvw:woman","","1.jpg 2.jpg / 1.jpg 2.jpg"
"stone","1","1","3","1","1","2","","","1.jpg"
"tidewood","1","1","2","1","1","2","","",""
"ukiyo_e","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"victorian","1","3","4","1","1","2","","",""
"watercolour","0","0","1","0","0","1","src:man src:woman pvw:man pvw:woman","","1.jpg / 1.jpg"
"wild_west","1","1","2","1","1","2","","",""
