effect,subject_none,mixed,subject_man,man_fallback,subject_woman,woman_fallback
"art_deco","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"art_nouveau","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"balloon_face","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"beaded","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"bronze","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"cast_glass","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"charcoal_chalk","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"chocolate","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"clockwork","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"coral","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"crystallized","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"cubism","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"daguerreotype","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"deco_twenties","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"dragon_skin","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"driftwood_resin","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"ebony","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"elizabethan","2_man.jpg 2_woman.jpg","MIXED","2_man.jpg","","2_woman.jpg",""
"fire_face","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"folded_book","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"forest_guardian","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"ice","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"impressionist","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"iron","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"jade","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"lichen_granite","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"linocut","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"magic_energy","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"mercury","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"neon","1_woman.jpeg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpeg",""
"oil_impasto","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"origami","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"pencil_sketch","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"persian_court","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"petal_sculpture","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"petrified_wood","1.jpg 2.jpg","","1.jpg 2.jpg","fallback","2_woman.jpg",""
"plushy","1.jpg 2_woman.jpg","","1.jpg 2_woman.jpg","fallback","2_woman.jpg",""
"polished_gold","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"porcelain","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"quilted","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"reclaimed_bronze","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"renaissance","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"retro_robot","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"samurai","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"sand_form","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"sandstone","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"sea_glass","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"sheet_music","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"stained_glass","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"starfield","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"stone","1.jpg 1_man.jpg","","1_man.jpg","","2_woman.jpg",""
"tidewood","1_woman.jpg 2_man.jpg","MIXED","2_man.jpg","","1_woman.jpg",""
"ukiyo_e","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"victorian","3_woman.jpg 4_man.jpg","MIXED","4_man.jpg","","3_woman.jpg",""
"watercolour","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
"wild_west","1_man.jpg 2_woman.jpg","MIXED","1_man.jpg","","2_woman.jpg",""
