index,plate,season,world,mood,energy,palette,twist,seed,clean_path,preview_path,duration_ms,status,prompt
0,0000_cosmos_dream_stillness_aurora.jpg,general,cosmos,dream,stillness,aurora,,20260818,,,,failed,"The remote server returned an error: (400) Bad Request."
1,0001_cosmos_storm_drift_aurora.jpg,general,cosmos,storm,drift,aurora,,527212932,,,,failed,"The remote server returned an error: (400) Bad Request."
2,0002_cosmos_twilight_flow_aurora.jpg,general,cosmos,twilight,flow,aurora,,1034165046,,,,failed,"The remote server returned an error: (400) Bad Request."
3,0003_cosmos_eclipse_surge_aurora.jpg,general,cosmos,eclipse,surge,aurora,,1541117160,,,,failed,"The remote server returned an error: (400) Bad Request."
4,0004_cosmos_midnight_eruption_aurora.jpg,general,cosmos,midnight,eruption,aurora,,2048069274,,,,failed,"The remote server returned an error: (400) Bad Request."
5,0005_cosmos_inferno_stillness_aurora.jpg,general,cosmos,inferno,stillness,aurora,,407537741,,,,failed,"The remote server returned an error: (400) Bad Request."
0,0000_cosmos_dream_stillness_aurora.jpg,general,cosmos,dream,stillness,aurora,,20260818,,,,failed,"supabase upload failed (wallpapers/studio/general/0000_cosmos_dream_stillness_aurora.jpg): 400 {""statusCode"":""404"",""error"":""Bucket not found"",""message"":""Bucket not found"",""code"":""NoSuchBucket""}"
1,0001_cosmos_storm_drift_aurora.jpg,general,cosmos,storm,drift,aurora,,527212932,,,,failed,"supabase upload failed (wallpapers/studio/general/0001_cosmos_storm_drift_aurora.jpg): 400 {""statusCode"":""404"",""error"":""Bucket not found"",""message"":""Bucket not found"",""code"":""NoSuchBucket""}"
2,0002_cosmos_twilight_flow_aurora.jpg,general,cosmos,twilight,flow,aurora,,1034165046,,,,failed,"supabase upload failed (wallpapers/studio/general/0002_cosmos_twilight_flow_aurora.jpg): 400 {""statusCode"":""404"",""error"":""Bucket not found"",""message"":""Bucket not found"",""code"":""NoSuchBucket""}"
3,0003_cosmos_eclipse_surge_aurora.jpg,general,cosmos,eclipse,surge,aurora,,1541117160,,,,failed,"supabase upload failed (wallpapers/studio/general/0003_cosmos_eclipse_surge_aurora.jpg): 400 {""statusCode"":""404"",""error"":""Bucket not found"",""message"":""Bucket not found"",""code"":""NoSuchBucket""}"
0,0000_cosmos_dream_stillness_aurora.jpg,general,cosmos,dream,stillness,aurora,,20260818,previews/studio/general/0000_cosmos_dream_stillness_aurora.jpg,wallpapers/studio/general/0000_cosmos_dream_stillness_aurora.jpg,65864,ok,"A single striking abstract artwork made as a mobile phone wallpaper. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. Vast celestial forms, nebulae, star fields, cosmic dust, planetary curves, gravitational arcs and luminous interstellar structures. Soft diffused illumination, luminous haze, gentle tonal transitions, restrained contrast, subtle bloom and an ethereal atmospheric glow. Centered, balanced composition with generous negative space, minimal directional movement, simple large forms and a strong sense of visual stability. Electric cyan, violet and emerald, luminous against midnight."
1,0001_cosmos_storm_drift_aurora.jpg,general,cosmos,storm,drift,aurora,,527212932,previews/studio/general/0001_cosmos_storm_drift_aurora.jpg,wallpapers/studio/general/0001_cosmos_storm_drift_aurora.jpg,2332,ok,"A single striking abstract artwork made as a mobile phone wallpaper. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. Vast celestial forms, nebulae, star fields, cosmic dust, planetary curves, gravitational arcs and luminous interstellar structures. Hard raking light through broken darkness, sharp highlights, deep shadows, high contrast and dense moisture-filled atmosphere. Gentle directional movement, softly displaced forms, subtle asymmetry and relaxed visual flow across the composition. Electric cyan, violet and emerald, luminous against midnight."
