index,plate,season,world,mood,energy,palette,twist,seed,clean_path,preview_path,duration_ms,status,prompt
0,0000_haunted_bewitched_stillness_blood_moon_impossible_scale.jpg,halloween,haunted,bewitched,stillness,blood_moon,impossible_scale,20260818,previews/studio/halloween/0000_haunted_bewitched_stillness_blood_moon_impossible_scale.jpg,wallpapers/studio/halloween/0000_haunted_bewitched_stillness_blood_moon_impossible_scale.jpg,65486,ok,"A single striking Halloween artwork made as a mobile phone wallpaper. One extraordinary focal idea, composed as a scene rather than an arrangement of seasonal objects. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. A vast supernatural environment of impossible haunted mansions, ruined castles, forgotten estates and ancient graveyards. Architecture feels alive and subtly wrong: impossible corridors, leaning towers, illuminated windows, monumental gates and structures disappearing into fog. Unseen inhabitants are suggested through distant lights, silhouettes and movement. Elegant gothic horror. Seductive supernatural illumination, luminous haze and mysterious coloured light. Shadows remain soft and dimensional while magical highlights appear unexpectedly throughout the scene. Enchanting, mysterious and beautiful, with a subtle sense that something impossible is happening. Centered, balanced composition with generous negative space, minimal directional movement, simple large forms and a strong sense of visual stability. Blood red, crimson and burnt orange against black. One element is vastly larger than it could be, dwarfing everything around it."
214,0214_infernal_ominous_flow_dead_forest_organic_geometry.jpg,halloween,infernal,ominous,flow,dead_forest,organic_geometry,1133830864,,,,failed,"prediction failed: Model execution failed (User Input Error): AiError: AiError: NSFW content detected. Try running it again, or try a different prompt. (41c7e95f-529c-4b31-b57f-1128b3d88d7c)"
1,0001_haunted_haunting_drift_blood_moon_living_architecture.jpg,halloween,haunted,haunting,drift,blood_moon,living_architecture,527212932,previews/studio/halloween/0001_haunted_haunting_drift_blood_moon_living_architecture.jpg,wallpapers/studio/halloween/0001_haunted_haunting_drift_blood_moon_living_architecture.jpg,64232,ok,"A single striking Halloween artwork made as a mobile phone wallpaper. One extraordinary focal idea, composed as a scene rather than an arrangement of seasonal objects. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. A vast supernatural environment of impossible haunted mansions, ruined castles, forgotten estates and ancient graveyards. Architecture feels alive and subtly wrong: impossible corridors, leaning towers, illuminated windows, monumental gates and structures disappearing into fog. Unseen inhabitants are suggested through distant lights, silhouettes and movement. Elegant gothic horror. Quiet, melancholy and deeply atmospheric. Diffused moonlight, pale illumination, long shadows, drifting fog and restrained contrast create the feeling of a place inhabited by memories or unseen presences. Beautiful first, unsettling second. Gentle directional movement, softly displaced forms, subtle asymmetry and relaxed visual flow across the composition. Blood red, crimson and burnt orange against black. Built structures behave like a creature: breathing, watching, reaching, or forming a silhouette that is almost a body."
215,0215_infernal_macabre_surge_dead_forest_something_watching.jpg,halloween,infernal,macabre,surge,dead_forest,something_watching,1640782978,previews/studio/halloween/0215_infernal_macabre_surge_dead_forest_something_watching.jpg,wallpapers/studio/halloween/0215_infernal_macabre_surge_dead_forest_something_watching.jpg,64707,ok,"A single striking Halloween artwork made as a mobile phone wallpaper. One extraordinary focal idea, composed as a scene rather than an arrangement of seasonal objects. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. An immense mythic underworld of obsidian formations, volcanic chasms, ruined citadels and monumental demonic architecture. Molten light glows through cracks in black stone while smoke, embers and enormous shadowy entities occupy impossible distances. Ancient, powerful and visually magnificent. Elegant darkness with stronger mortality and decay: aged surfaces, skeletal forms, dead vegetation, ruined grandeur and stark chiaroscuro. Sophisticated gothic beauty, disturbing details used sparingly against richly rendered darkness. Forceful directional movement, strong diagonals, overlapping forms, dynamic scale changes and pronounced visual momentum. Umber, moss green and rust against smoky black. The composition is arranged around an unseen observer, and the scene knows it is being looked at."
2,0002_haunted_ominous_flow_blood_moon_beautiful_decay.jpg,halloween,haunted,ominous,flow,blood_moon,beautiful_decay,1034165046,previews/studio/halloween/0002_haunted_ominous_flow_blood_moon_beautiful_decay.jpg,wallpapers/studio/halloween/0002_haunted_ominous_flow_blood_moon_beautiful_decay.jpg,63879,ok,"A single striking Halloween artwork made as a mobile phone wallpaper. One extraordinary focal idea, composed as a scene rather than an arrangement of seasonal objects. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. A vast supernatural environment of impossible haunted mansions, ruined castles, forgotten estates and ancient graveyards. Architecture feels alive and subtly wrong: impossible corridors, leaning towers, illuminated windows, monumental gates and structures disappearing into fog. Unseen inhabitants are suggested through distant lights, silhouettes and movement. Elegant gothic horror. Heavy darkness, approaching weather, deep directional shadows and isolated pools of illumination create mounting tension. The composition suggests that something enormous is about to happen without revealing exactly what it is. Continuous sweeping movement, interconnected forms, graceful curves and clear directional pathways carrying the eye through the composition. Blood red, crimson and burnt orange against black. Ruin rendered as splendour: collapse, erosion and overgrowth arranged into something lovelier than the intact thing was."
216,0216_infernal_macabre_flow_gothic_jewel_something_watching.jpg,halloween,infernal,macabre,flow,gothic_jewel,something_watching,251445,previews/studio/halloween/0216_infernal_macabre_flow_gothic_jewel_something_watching.jpg,wallpapers/studio/halloween/0216_infernal_macabre_flow_gothic_jewel_something_watching.jpg,64007,ok,"A single striking Halloween artwork made as a mobile phone wallpaper. One extraordinary focal idea, composed as a scene rather than an arrangement of seasonal objects. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. An immense mythic underworld of obsidian formations, volcanic chasms, ruined citadels and monumental demonic architecture. Molten light glows through cracks in black stone while smoke, embers and enormous shadowy entities occupy impossible distances. Ancient, powerful and visually magnificent. Elegant darkness with stronger mortality and decay: aged surfaces, skeletal forms, dead vegetation, ruined grandeur and stark chiaroscuro. Sophisticated gothic beauty, disturbing details used sparingly against richly rendered darkness. Continuous sweeping movement, interconnected forms, graceful curves and clear directional pathways carrying the eye through the composition. Garnet, emerald, sapphire and amethyst with antique gold. The composition is arranged around an unseen observer, and the scene knows it is being looked at."
3,0003_haunted_macabre_surge_blood_moon_hidden_presence.jpg,halloween,haunted,macabre,surge,blood_moon,hidden_presence,1541117160,previews/studio/halloween/0003_haunted_macabre_surge_blood_moon_hidden_presence.jpg,wallpapers/studio/halloween/0003_haunted_macabre_surge_blood_moon_hidden_presence.jpg,63718,ok,"A single striking Halloween artwork made as a mobile phone wallpaper. One extraordinary focal idea, composed as a scene rather than an arrangement of seasonal objects. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. A vast supernatural environment of impossible haunted mansions, ruined castles, forgotten estates and ancient graveyards. Architecture feels alive and subtly wrong: impossible corridors, leaning towers, illuminated windows, monumental gates and structures disappearing into fog. Unseen inhabitants are suggested through distant lights, silhouettes and movement. Elegant gothic horror. Elegant darkness with stronger mortality and decay: aged surfaces, skeletal forms, dead vegetation, ruined grandeur and stark chiaroscuro. Sophisticated gothic beauty, disturbing details used sparingly against richly rendered darkness. Forceful directional movement, strong diagonals, overlapping forms, dynamic scale changes and pronounced visual momentum. Blood red, crimson and burnt orange against black. Something enormous is barely perceptible within the scene, read only as a shape in the mist, the stone or the shadow."
217,0217_infernal_nightmarish_surge_gothic_jewel_impossible_scale.jpg,halloween,infernal,nightmarish,surge,gothic_jewel,impossible_scale,507203559,previews/studio/halloween/0217_infernal_nightmarish_surge_gothic_jewel_impossible_scale.jpg,wallpapers/studio/halloween/0217_infernal_nightmarish_surge_gothic_jewel_impossible_scale.jpg,64478,ok,"A single striking Halloween artwork made as a mobile phone wallpaper. One extraordinary focal idea, composed as a scene rather than an arrangement of seasonal objects. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. An immense mythic underworld of obsidian formations, volcanic chasms, ruined citadels and monumental demonic architecture. Molten light glows through cracks in black stone while smoke, embers and enormous shadowy entities occupy impossible distances. Ancient, powerful and visually magnificent. Unnatural lighting, extreme scale, distorted depth and impossible shadows make the scene feel like a vivid nightmare. Familiar forms become subtly wrong and visual logic begins to break down. Intensely unsettling and surreal, sophisticated and visually spectacular. Forceful directional movement, strong diagonals, overlapping forms, dynamic scale changes and pronounced visual momentum. Garnet, emerald, sapphire and amethyst with antique gold. One element is vastly larger than it could be, dwarfing everything around it."
4,0004_haunted_nightmarish_eruption_blood_moon_material_transformation.jpg,halloween,haunted,nightmarish,eruption,blood_moon,material_transformation,2048069274,previews/studio/halloween/0004_haunted_nightmarish_eruption_blood_moon_material_transformation.jpg,wallpapers/studio/halloween/0004_haunted_nightmarish_eruption_blood_moon_material_transformation.jpg,64080,ok,"A single striking Halloween artwork made as a mobile phone wallpaper. One extraordinary focal idea, composed as a scene rather than an arrangement of seasonal objects. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. A vast supernatural environment of impossible haunted mansions, ruined castles, forgotten estates and ancient graveyards. Architecture feels alive and subtly wrong: impossible corridors, leaning towers, illuminated windows, monumental gates and structures disappearing into fog. Unseen inhabitants are suggested through distant lights, silhouettes and movement. Elegant gothic horror. Unnatural lighting, extreme scale, distorted depth and impossible shadows make the scene feel like a vivid nightmare. Familiar forms become subtly wrong and visual logic begins to break down. Intensely unsettling and surreal, sophisticated and visually spectacular. Explosive outward movement, fragmented forms, dramatic displacement, extreme scale variation and dense controlled complexity radiating through the composition. Blood red, crimson and burnt orange against black. One substance becomes another mid-form: stone into smoke, water into glass, cloth into flame."
218,0218_infernal_majestic_eruption_gothic_jewel_living_architecture.jpg,halloween,infernal,majestic,eruption,gothic_jewel,living_architecture,1014155673,previews/studio/halloween/0218_infernal_majestic_eruption_gothic_jewel_living_architecture.jpg,wallpapers/studio/halloween/0218_infernal_majestic_eruption_gothic_jewel_living_architecture.jpg,64209,ok,"A single striking Halloween artwork made as a mobile phone wallpaper. One extraordinary focal idea, composed as a scene rather than an arrangement of seasonal objects. Vertical 9:16 mobile wallpaper, full-bleed edge to edge composition. The upper region of the frame is open and unadorned — atmosphere, gradient falloff or empty depth, no detail and no focal point there. The principal subject sits in the lower two thirds, weighted below centre and placed off the vertical axis. Clear depth across three planes: near, middle and far. No text, no letterforms, no numerals, no signature, no watermark, no logo, no border and no frame. An immense mythic underworld of obsidian formations, volcanic chasms, ruined citadels and monumental demonic architecture. Molten light glows through cracks in black stone while smoke, embers and enormous shadowy entities occupy impossible distances. Ancient, powerful and visually magnificent. Grand cinematic illumination, monumental scale, deep dimensional contrast and radiant focal light. Darkness frames moments of extraordinary beauty and power. The scene inspires awe as much as fear, treating Halloween fantasy with the visual grandeur of an epic myth. Explosive outward movement, fragmented forms, dramatic displacement, extreme scale variation and dense controlled complexity radiating through the composition. Garnet, emerald, sapphire and amethyst with antique gold. Built structures behave like a creature: breathing, watching, reaching, or forming a silhouette that is almost a body."
